metric	stage_order	score	CVB3	IVIG	delta_CVB3_minus_IVIG
q99	1	AHR_response_score_expr	0.3950018960237501	0.3966550904512401	-0.0016531944274900123
q99	1	KYN_metabolism_score_expr	0.1969896620512006	0.1934704643487927	0.0035191977024079113
q99	1	Kyn_AHR_axis_score_expr	2.537828605782767	2.4349827890445392	0.10284581673822757
q99	1	Kyn_AHR_myeloid_score_expr	2.0999190925040256	2.058240882584957	0.041678209919068454
q99	1	Kyn_AHR_myeloid_score_z	0.8127883017063099	0.798654339909551	0.014133961796758854
q99	1	myeloid_inflammation_score_expr	0.6837096142768859	0.5399808716773986	0.1437287425994873
q99	2	AHR_regulon_proxy_score_expr	0.4159979248046873	0.4332861563563342	-0.017288231551646938
q99	2	AHR_response_score_expr	0.3608704316616056	0.3804128846526144	-0.01954245299100882
q99	2	KYN_metabolism_score_expr	0.0	0.18352096483111352	-0.18352096483111352
q99	2	Kyn_AHR_axis_score_expr	2.706257907510636	2.3976981537198214	0.30855975379081446
q99	2	Kyn_AHR_myeloid_score_expr	2.2208096483564237	2.0386735633605215	0.18213608499590217
q99	2	Kyn_AHR_myeloid_score_z	0.7616646814346312	0.7731161171197872	-0.011451435685156053
q99	2	myeloid_inflammation_score_expr	0.621358840465545	0.5312672817707057	0.09009155869483931
q99	3	AHR_regulon_proxy_score_expr	0.5497337877750396	0.4436027836799618	0.10613100409507775
q99	3	AHR_response_score_expr	0.5536788702011108	0.37932666540145754	0.1743522047996533
q99	3	KYN_metabolism_score_expr	0.17140988335013344	0.18107598543167086	-0.009666102081537425
q99	3	Kyn_AHR_axis_score_expr	2.4436761796455175	2.4653215025009425	-0.021645322855424975
q99	3	Kyn_AHR_myeloid_score_expr	2.0226260065228803	2.068556140775123	-0.045930134252242905
q99	3	Kyn_AHR_myeloid_score_z	0.6883379489183421	0.7555018734931943	-0.06716392457485221
q99	3	myeloid_inflammation_score_expr	0.7734915047883987	0.5321036601066583	0.24138784468174035
q99	4	AHR_regulon_proxy_score_expr	0.5039445412158966	0.45780261814594253	0.04614192306995407
q99	4	AHR_response_score_expr	0.5033751046657565	0.4344532209634781	0.06892188370227842
q99	4	KYN_metabolism_score_expr	0.17483238965272946	0.18720140576362596	-0.012369016110896497
q99	4	Kyn_AHR_axis_score_expr	2.4485123967409868	2.5746359417925873	-0.1261235450516005
q99	4	Kyn_AHR_myeloid_score_expr	2.066487260546138	2.1162681598932656	-0.049780899347127594
q99	4	Kyn_AHR_myeloid_score_z	0.732043092250824	0.8078316605091094	-0.0757885682582854
q99	4	myeloid_inflammation_score_expr	0.6868837225437169	0.677112733721733	0.009770988821983906
q99	5	AHR_regulon_proxy_score_expr	0.4776661765575403	0.47441736459732037	0.0032488119602199217
q99	5	AHR_response_score_expr	0.5253798586130138	0.4034392541646957	0.12194060444831811
q99	5	KYN_metabolism_score_expr	0.0	0.19899091094732282	-0.19899091094732282
q99	5	Kyn_AHR_axis_score_expr	2.605321413494891	2.44544347862978	0.15987793486511137
q99	5	Kyn_AHR_myeloid_score_expr	2.1378461109643982	2.044133058810722	0.0937130521536762
q99	5	Kyn_AHR_myeloid_score_z	0.6730347424745554	0.7841668856143948	-0.11113214313983943
q99	5	myeloid_inflammation_score_expr	0.6303463143110274	0.8127081763744353	-0.18236186206340788
q99	6	AHR_regulon_proxy_score_expr	0.6013294363021855	0.5314244216680524	0.06990501463413312
q99	6	AHR_response_score_expr	0.5145054161548616	0.39749728530645295	0.11700813084840861
q99	6	KYN_metabolism_score_expr	0.16731973886489931	0.20802934050559949	-0.04070960164070017
q99	6	Kyn_AHR_axis_score_expr	2.2655350639069343	2.4016279916408596	-0.13609292773392534
q99	6	Kyn_AHR_myeloid_score_expr	1.9047759720793145	2.065595445838852	-0.16081947375953765
q99	6	Kyn_AHR_myeloid_score_z	0.6936300754547143	0.7434833848476321	-0.049853309392917766
q99	6	myeloid_inflammation_score_expr	1.384494819641114	0.845339953303335	0.539154866337779
q99	7	AHR_regulon_proxy_score_expr	0.5995291471481321	0.5413420808315276	0.05818706631660453
q99	7	AHR_response_score_expr	0.5188588458299637	0.40322294235229483	0.11563590347766883
q99	7	KYN_metabolism_score_expr	0.19790524363517745	0.17988966107368465	0.0180155825614928
